"Fahrzeugmodell";"Marke";"Markenindikator";"Modellfamilie";"Markteinführung weltweit";"Modelljahr";"Entwicklungstyp";"Modellstatus";"Fahrzeugsegment";"Karosserieart";"Karosserieart-Spezifikation";"Antriebsart";"Fahrzeugprojekt";"Beschränkung";"UUID";"Schwestermodell";"Schwestermodell";"Modellausführung";"Basisfahrzeug"
"Mitsubishi Colt CZC (2007)";"Mitsubishi";"Volume";"Mitsubishi Colt";"02.03.2006";"2007";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Cabriolet/Roadster";;"ICE";;"Keine";"aef48d74-fb85-433d-a1cc-e331dd270956";;;;
"Mitsubishi Delica D:2 (2012)";"Mitsubishi";"Volume";;"24.02.2011";"2012";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"4cbc9b36-1104-4a8b-8143-ec3c5dc95b0f";"Suzuki Solio (2011)";;;
"Mitsubishi Delica D:5 (2008)";"Mitsubishi";"Volume";"Mitsubishi Delica";"31.01.2007";"2008";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"MPV";"MPV long";"ICE";;"Keine";"fd4dd4bc-1be9-492d-beca-3553cdcdbe77";;;;
"Mitsubishi Delica D:5 (2015)";"Mitsubishi";"Volume";"Mitsubishi Delica";"01.01.2014";"2015";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"MPV";"MPV long";"ICE";;"Keine";"7d0f6be5-601a-4125-b8f5-85497bb1cb6a";;;;
"Mitsubishi Delica D:5 (2019)";"Mitsubishi";"Volume";"Mitsubishi Delica";"01.11.2018";"2019";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"MPV";"MPV long";"ICE";;"Keine";"908bd0e4-2123-4cb3-b649-31b3744db65a";;;;
"Mitsubishi Delica Mini (2024)";"Mitsubishi";"Volume";;"01.05.2023";"2024";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"d4e53f1a-125f-4188-a85f-23750435478a";;;;
"Mitsubishi Dignity (2014)";"Mitsubishi";"Volume";"Mitsubishi Dignity";"01.08.2013";"2014";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"3c14da50-70be-41a9-8e9f-85f6bf693c9c";;;;
"Mitsubishi Eclipse (2007)";"Mitsubishi";"Volume";"Mitsubishi Eclipse";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Coupe";;"ICE";;"Keine";"8d3f2439-1a55-4616-8bbe-40c0798ab74e";;;;
"Mitsubishi Eclipse Cross (2018)";"Mitsubishi";"Volume";"Mitsubishi Eclipse Cross";"01.11.2017";"2018";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"b91fcdbb-5a17-4ad8-8c7b-54365dd2c913";;;;
"Mitsubishi Eclipse Cross (2021)";"Mitsubishi";"Volume";"Mitsubishi Eclipse Cross";"01.11.2020";"2021";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"aa82c502-ab3b-460c-8b94-c1feeb094e8d";;;"Mitsubishi Eclipse Cross PHEV (2022)";
"Mitsubishi Eclipse Cross PHEV (2022)";"Mitsubishi";"Volume";"Mitsubishi Eclipse Cross";"01.08.2021";"2022";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"ea3dd994-5668-4c78-a4dd-f870028a31ea";;;;"Mitsubishi Eclipse Cross (2021)"
"Mitsubishi Eclipse Spyder (2007)";"Mitsubishi";"Volume";"Mitsubishi Eclipse";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Cabriolet/Roadster";;"ICE";;"Keine";"9ffa51cc-b4e1-4a85-825a-a2b0fbe672e3";;;;
"Mitsubishi eK (2002)";"Mitsubishi";"Volume";"Mitsubishi eK";"11.10.2001";"2002";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"8cd1c007-8a66-48e2-bb7a-5936654d8d25";"Nissan Otti (2002)";;;
"Mitsubishi eK (2014)";"Mitsubishi";"Volume";"Mitsubishi eK";"01.06.2013";"2014";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"80e9d1bb-1fb0-45be-bc66-3baf25312fee";"Nissan Dayz (2014)";;;
"Mitsubishi eK (2019)";"Mitsubishi";"Volume";"Mitsubishi eK";"14.03.2019";"2019";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"f5a4a074-54d2-4b6c-a6ad-109bd206ac7f";"Nissan Dayz (2019)";;"Mitsubishi eK Hybrid (2020)|Mitsubishi eK X (2023)";
"Mitsubishi eK Hybrid (2020)";"Mitsubishi";"Volume";"Mitsubishi eK";"01.10.2019";"2020";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"HEV";;"Keine";"6fbf9389-ca13-4efe-ac61-dbdbaa913278";;"Nissan Dayz S-Hybrid (2020)";;"Mitsubishi eK (2019)"
"Mitsubishi eK X (2023)";"Mitsubishi";"Volume";"Mitsubishi eK";"01.11.2022";"2023";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"BEV";;"Keine";"5b6ba3b7-470b-4b4f-9df7-f5adbadc1ae8";;;;"Mitsubishi eK (2019)"
"Mitsubishi Endeavor (2004)";"Mitsubishi";"Volume";;"01.06.2003";"2004";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";;"ICE";;"Keine";"ae91e872-aec0-4efd-a847-be549f200d5e";;;;
"Mitsubishi Galant (2009)";"Mitsubishi";"Volume";"Mitsubishi Galant";"01.01.2008";"2009";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Sedan";;"ICE";;"Keine";"326ca9d5-28e2-42e1-86c8-6c16462eb0ee";;;;
"Mitsubishi Grand Lancer (2017)";"Mitsubishi";"Volume";;"01.03.2017";"2017";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"a6dfe84a-f64c-46fd-995a-546b733d44f4";;;;
"Mitsubishi Grandis (2004)";"Mitsubishi";"Volume";"Mitsubishi Grandis";"15.09.2003";"2004";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"MPV";"MPV long";"ICE";;"Keine";"ec060f7a-58cf-4a61-8bb1-1221b3ee9dbe";;;;
"Mitsubishi i (2007)";"Mitsubishi";"Volume";"Mitsubishi i";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"3bfc6ef4-7175-42b9-a447-dc69f9a47033";;;"Citroen C-ZERO (2011)|Mitsubishi i-MiEV (2011)|Peugeot iOn (2011)";
"Mitsubishi i-MiEV (2011)";"Mitsubishi";"Volume";;"01.04.2010";"2011";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback high";"BEV";;"Keine";"31426cbc-7ea3-4dc2-ac08-d4cce39de9e7";"Peugeot iOn (2011)";"Citroen C-ZERO (2011)";;"Mitsubishi i (2007)"
"Mitsubishi L200 (2007)";"Mitsubishi";"Volume";"Mitsubishi L200";"01.06.2006";"2007";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"c5d9c55a-8780-459e-8cf1-77de8192b1ae";"Mitsubishi Triton (2007)";;;
"Mitsubishi L200 (2016)";"Mitsubishi";"Volume";"Mitsubishi L200";"17.07.2015";"2016";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"1bcf7f9d-4ca3-416c-8a76-1151f99a0b00";"Fiat Fullback (2017)|Mitsubishi Triton (2016)";;;
"Mitsubishi L200 (2019)";"Mitsubishi";"Volume";"Mitsubishi L200";"01.03.2019";"2019";"Facelift";"aktuell";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"8c1f8ea5-67c5-4e5d-9ac5-4cc13fec76e2";"Mitsubishi Triton (2019)";;;
"Mitsubishi L200 (2024)";"Mitsubishi";"Volume";"Mitsubishi L200";"01.11.2023";"2024";"Neuentwicklung";"geplant";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"662e1235-3bbe-4c81-90ac-0b09d1df5a0a";"Mitsubishi Triton (2024)";;;
"Mitsubishi Lancer Sportback (2009)";"Mitsubishi";"Volume";"Mitsubishi Lancer";"04.10.2008";"2009";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Coupe Saloon";"ICE";;"Keine";"cfb93dbc-22e7-4f29-ae4c-3190a8906851";;;;
"Mitsubishi Lancer Sportlimo (2009)";"Mitsubishi";"Volume";"Mitsubishi Lancer";"04.10.2008";"2009";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"692da206-701b-436d-b428-8e639fd028db";"Proton Inspira (2011)";;;
"Mitsubishi Minica (1999)";"Mitsubishi";"Volume";;"01.01.1998";"1999";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"a99b5c08-3ac5-460d-9857-d6eda01571a6";;;;
"Mitsubishi Mirage (2020)";"Mitsubishi";"Volume";"Mitsubishi Mirage";"01.03.2020";"2020";"Facelift";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"e18d3e60-2d65-40cd-ba2b-24f0fc43390e";;"Mitsubishi Space Star (2020)";;
"Mitsubishi Mirage GT (2017)";"Mitsubishi";"Volume";"Mitsubishi Mirage";"01.05.2016";"2017";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"a486907c-491c-450d-ae75-0e44b3065d2c";;"Mitsubishi Space Star (2017)";;
"Mitsubishi Mirage Hatchback (2013)";"Mitsubishi";"Volume";"Mitsubishi Mirage";"31.08.2012";"2013";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"c8620024-7d6b-402e-8535-ba496c9cd025";"Mitsubishi Space Star (2014)";;;
"Mitsubishi Mirage Sedan (2014)";"Mitsubishi";"Volume";"Mitsubishi Mirage";"01.07.2013";"2014";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"3de0fe2c-0fcc-4879-8b81-3c5a326ce1ce";"Dodge Attitude (2016)|Mitsubishi Attrage (2014)";;;
"Mitsubishi Mirage Sedan (2021)";"Mitsubishi";"Volume";"Mitsubishi Mirage";"01.01.2021";"2021";"Facelift";"aktuell";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"f601ce5b-9885-431f-b4a5-94ef759788c6";"Mitsubishi Attrage (2019)";;;
"Mitsubishi Montero (2007)";"Mitsubishi";"Volume";"Mitsubishi Montero";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"3fabf069-6663-461a-bd3b-91e2e1805a58";"Mitsubishi Pajero (2007)";;;
"Mitsubishi Montero Sport (2009)";"Mitsubishi";"Volume";"Mitsubishi Montero Sport";"01.01.2008";"2009";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"293267df-b0ca-4be2-9eec-c5a804df5b66";"Mitsubishi Pajero Sport (2009)";"Mitsubishi Challenger (2009)";;
"Mitsubishi Montero Sport (2020)";"Mitsubishi";"Volume";"Mitsubishi Montero Sport";"01.11.2019";"2020";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"e9eac4fd-5bab-40dd-90d6-01faff02b693";;"Mitsubishi Pajero Sport (2017)|Mitsubishi Pajero Sport (2020)";;
"Mitsubishi Outlander (2007)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"74e3f4fa-8a79-4b4b-a464-534ab73fc150";;;;
"Mitsubishi Outlander (2013)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.09.2012";"2013";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"40b2825c-ea88-4902-a2e0-1cbff94921b9";;;"Mitsubishi Outlander PHEV (2013)";
"Mitsubishi Outlander (2016)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.06.2015";"2016";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"aeee1f39-321a-4e54-85b3-5f99633b4f86";;;"Mitsubishi Outlander PHEV (2016)";
"Mitsubishi Outlander (2021)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.04.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"b7e863d1-96d7-4c85-a2ab-cc1085cdcff9";;;;
"Mitsubishi Outlander PHEV (2013)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.03.2013";"2013";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"fea92ff1-2966-415d-a5e8-071943e1b3c8";;;;"Mitsubishi Outlander (2013)"
"Mitsubishi Outlander PHEV (2016)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"26.09.2015";"2016";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"928b1398-1d57-4c98-ac6a-651e4002c18c";;;;"Mitsubishi Outlander (2016)"
"Mitsubishi Outlander PHEV (2019)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.10.2018";"2019";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"PHEV";;"Keine";"50742cb2-f97f-432e-9f01-cc1bb1822050";;;;
"Mitsubishi Outlander Sport (2011)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.04.2010";"2011";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"984981e5-046f-4b99-b179-47a7c3f76349";"Mitsubishi ASX (2011)";"Citroen C4 Aircross (2013)|Mitsubishi RVR (2011)|Peugeot 4008 (2013)";;
"Mitsubishi Outlander Sport (2016)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.02.2016";"2016";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"3ee8dd37-a4b0-4d97-8b6e-a60b21424d9e";;;;
"Mitsubishi Outlander Sport (2020)";"Mitsubishi";"Volume";"Mitsubishi Outlander";"01.05.2019";"2020";"Facelift";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"3b2ca042-4040-469b-b225-d1720e8ee07a";;"Mitsubishi ASX (2020)";;
"Mitsubishi Pajero (1991)";"Mitsubishi";"Volume";"Mitsubishi Pajero";"01.01.1990";"1991";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"bc6451b0-072c-4a5c-b03f-ceec47d396f5";"Changfeng Liebao Qibing (2008)";;;
"Mitsubishi Pajero (2001)";"Mitsubishi";"Volume";"Mitsubishi Pajero";"01.01.2000";"2001";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"e048ea44-f9de-4b45-a1c6-7c743810667c";;;;
"Mitsubishi Pajero (2007)";"Mitsubishi";"Volume";"Mitsubishi Pajero";"12.08.2006";"2007";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"201db38e-34e5-4a7f-966f-bc13919be9de";;"Mitsubishi Montero (2007)";;
"Mitsubishi Pajero Mini (1995)";"Mitsubishi";"Volume";;"01.12.1994";"1995";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"SUV / CUV";;"ICE";;"Keine";"bf2053f2-b1e4-483d-be37-498dd0d6d4a0";"Nissan Kix (1995)";;;
"Mitsubishi Pajero Sport (2009)";"Mitsubishi";"Volume";"Mitsubishi Pajero Sport";"01.01.2008";"2009";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"6f516a55-cff8-401c-ae22-70dcaab4cf7b";;"Mitsubishi Challenger (2009)|Mitsubishi Montero Sport (2009)";;
"Mitsubishi Pajero Sport (2017)";"Mitsubishi";"Volume";"Mitsubishi Pajero Sport";"01.11.2016";"2017";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"a989b7bd-e951-49eb-acec-0c7d9e566c45";"Mitsubishi Montero Sport (2020)";;;
"Mitsubishi Pajero Sport (2020)";"Mitsubishi";"Volume";"Mitsubishi Pajero Sport";"25.07.2019";"2020";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Robust";"ICE";;"Keine";"8c795a21-862a-4710-8b8f-030eae61e730";"Mitsubishi Montero Sport (2020)";;;
"Mitsubishi Pajero TR4 (2007)";"Mitsubishi";"Volume";;"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"SUV / CUV";;"ICE";;"Keine";"fb409f61-dce2-4075-9622-8891764c7dd5";;;;
"Mitsubishi Proudia (2014)";"Mitsubishi";"Volume";"Mitsubishi Proudia";"01.08.2013";"2014";"Neuentwicklung";"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"69caabfb-6901-45c0-9a60-48cbee1d9e4c";;"Infiniti M (2011)|Nissan Cima (2013)|Nissan Fuga (2010)";;
"Mitsubishi RVR (2011)";"Mitsubishi";"Volume";"Mitsubishi RVR";"17.02.2010";"2011";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"6a36daec-59b3-40e1-b24d-f2c190cbb9e0";"Mitsubishi ASX (2011)|Mitsubishi Outlander Sport (2011)|Peugeot 4008 (2013)";"Citroen C4 Aircross (2013)";;
"Mitsubishi RVR (2020)";"Mitsubishi";"Volume";"Mitsubishi RVR";"01.10.2019";"2020";"Facelift";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"91946771-d530-4c05-a2df-0ad719731a23";"Mitsubishi ASX (2020)";;;
"Mitsubishi Space Star (2014)";"Mitsubishi";"Volume";"Mitsubishi Space Star";"01.04.2013";"2014";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"e5496bbe-0c9e-48e1-8c4f-1a6f1c084f4b";;"Mitsubishi Mirage Hatchback (2013)";;
"Mitsubishi Space Star (2017)";"Mitsubishi";"Volume";"Mitsubishi Space Star";"01.04.2016";"2017";"Facelift";"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"49068c34-f21b-48b4-94fa-23f248023431";"Mitsubishi Mirage GT (2017)";;;
"Mitsubishi Space Star (2020)";"Mitsubishi";"Volume";"Mitsubishi Space Star";"01.03.2020";"2020";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"d0319aae-daae-4700-b2a7-d7617c0b4aa6";"Mitsubishi Mirage (2020)";;;
"Mitsubishi Toppo (2009)";"Mitsubishi";"Volume";"Mitsubishi Toppo";"17.09.2008";"2009";"Neuentwicklung";"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";;"ICE";;"Keine";"b75247d2-86f7-477c-9655-285d43782deb";;;;
"Mitsubishi Triton (2007)";"Mitsubishi";"Volume";"Mitsubishi Triton";"01.01.2006";"2007";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"f0e50f9e-178d-4599-9539-1b629bc82c6d";;"Mitsubishi L200 (2007)";;
"Mitsubishi Triton (2016)";"Mitsubishi";"Volume";"Mitsubishi Triton";"01.09.2015";"2016";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"25b44581-c44b-4bc4-88e1-d236cdb3f5a1";"Fiat Fullback (2017)";"Mitsubishi L200 (2016)";;
"Mitsubishi Triton (2019)";"Mitsubishi";"Volume";"Mitsubishi Triton";"17.11.2018";"2019";"Facelift";"aktuell";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"797bcd13-7543-4e03-a5d6-897bfd1c1027";;"Mitsubishi L200 (2019)";;
"Mitsubishi Triton (2024)";"Mitsubishi";"Volume";"Mitsubishi Triton";"01.10.2023";"2024";"Neuentwicklung";"geplant";"B (Mittelklasse)";"Pickup";"Pickup standard";"ICE";;"Keine";"8acf77e0-eb51-43c7-8b69-cc5499cec270";;"Mitsubishi L200 (2024)";;
"Mitsubishi Xpander (2018)";"Mitsubishi";"Volume";"Mitsubishi XPander";"01.03.2018";"2018";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"MPV";"MPV compact";"ICE";;"Keine";"5be708eb-ce7c-4c71-8aa4-4423cb15586e";;"Nissan Livina (2020)";;
"Mitsubishi Xpander (2022)";"Mitsubishi";"Volume";"Mitsubishi XPander";"01.11.2021";"2022";"Facelift";"aktuell";"A0 (Kleinwagen)";"MPV";"MPV long";"ICE";;"Keine";"25cf29cd-3f3a-4395-a447-695897666d47";;;;
"Mobilize Limo (2023)";"Mobilize";;;"01.09.2022";"2023";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"BEV";;"Keine";"0a61e05b-c81e-4779-b814-4c13159271b9";;"Ezoom Yi (2022)";;
"Modern Auto - Modern In (2022)";"Modern Auto";"Economy";;"01.11.2021";"2022";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"Sedan";"Liftback Standard";"BEV";;"Keine";"1e44d3b2-8819-4421-bc7e-0e673e125e5a";;;;
"Neta Aya (2024)";"Neta";"Economy";;"01.11.2023";"2024";"Facelift";"geplant";"A0 (Kleinwagen)";"SUV / CUV";"CUV";"BEV";;"Keine";"775c54fc-9822-4ea0-8a1f-ec9558662161";;;;
"Neta GT (2024)";"Neta";"Economy";"Neta GT";"01.08.2023";"2024";"Neuentwicklung";"geplant";"A (Kompaktklasse)";"Coupe";"Coupe Sport";"BEV";;"Keine";"eda99f53-4809-4ab6-8012-ce3dbb1ce798";;;;
"Neta GT Speedster (2024)";"Neta";"Economy";"Neta GT";"01.12.2023";"2024";"Neuentwicklung";"geplant";"A (Kompaktklasse)";"Cabriolet/Roadster";"Roadster";"BEV";;"Keine";"b7bc2590-7901-4667-b532-611ba501377c";;;;
"Neta N01 (2020)";"Neta";"Economy";;"01.05.2019";"2020";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"33871da0-5aa6-46e5-afd9-a46ad297fb4f";;;;
"Neta S (2022)";"Neta";"Economy";;"01.01.2022";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Sedan";"Sedan Standard";"BEV";;"Keine";"d5c48bc5-3a99-4019-84d9-9a5ea30322eb";;;;
"Neta U (2020)";"Neta";"Economy";;"01.03.2020";"2020";"Neuentwicklung";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"fe5a0cfd-4a41-42dd-82c0-b833165ce464";;;;
"Neta U-II (2023)";"Neta";"Economy";;"10.10.2022";"2023";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"76efd908-f62c-424f-8774-2cb1fed8e4a1";;;;
"Neta V (2021)";"Neta";"Economy";;"03.11.2020";"2021";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"CUV";"BEV";;"Keine";"f818b75c-90a0-4d15-9990-46cf884a4273";;;;
"Nio EC6 (2021)";"Nio";"Premium";;"01.09.2020";"2021";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Fastback";"BEV";;"Keine";"be3b4ed3-d443-46bf-b7b5-8283852a18f4";;;;
"Nio EC6 (2024)";"Nio";"Premium";;"01.06.2023";"2024";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Fastback";"BEV";;"Keine";"19f7c9ee-a9a8-4794-9174-491a94d78ed4";;;;
"Nio EC7 (2024)";"Nio";"Premium";;"01.05.2023";"2024";"Neuentwicklung";"aktuell";"C (obere Mittelklasse)";"SUV / CUV";"SUV Fastback";"BEV";;"Keine";"55b426e2-a556-4426-8e79-3d9494ceb647";;;;
"Nio EL6 (2024)";"Nio";"Premium";;"15.06.2023";"2024";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"940e17a0-01a5-42b2-9907-9981ea4119be";;"Nio ES6 (2024)";;
"Nio EL7 (2023)";"Nio";"Premium";;"01.03.2023";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"3cd11611-d4ad-4abc-b524-6ccc0ed80ee2";;"Nio ES7 (2023)";;
"Nio ES6 (2019)";"Nio";"Premium";;"15.12.2018";"2019";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"ca5f8dae-4615-4539-90ac-aa29fa3ca94b";;;;
"Nio ES6 (2024)";"Nio";"Premium";;"24.05.2023";"2024";"Facelift";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"4aa2c06f-1240-42ee-8b3a-61d533996a53";"Nio EL6 (2024)";;;
"Nio ES7 (2023)";"Nio";"Premium";;"01.09.2022";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"b10632fa-621d-4b69-a1f5-a5aaf276c4b6";"Nio EL7 (2023)";;;
"Nio ES8 (2018)";"Nio";"Premium";;"01.04.2018";"2018";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"8fbe1044-c147-43c1-ad4d-2baec59e9fc4";;;;
"Nio ES8 (2024)";"Nio";"Premium";;"01.05.2023";"2024";"Neuentwicklung";"aktuell";"C (obere Mittelklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"46a30bb7-3dff-4a00-a0dd-2c97f9dd48c8";;;;
"Nio ET5 (2023)";"Nio";"Premium";;"01.09.2022";"2023";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Sedan";"Liftback Standard";"BEV";;"Keine";"d79f1169-1c0c-4ab5-ba5e-f005052361d7";;;;
"Nio ET5 Touring (2024)";"Nio";"Premium";;"01.08.2023";"2024";"Neuentwicklung";"geplant";"B (Mittelklasse)";"Estate";"Estate standard";"BEV";;"Keine";"c9b107ff-f767-49eb-b42f-43eb47b3a813";;;;
